TIPO,NOMBRE,DESCRIPCIÓN,LINK
ISO,ISO 45001/2018,"ISO 45001:2018 ES - Sistemas de gestión de la seguridad y salud en el trabajo - Requisitos con orientación para su uso",https://www.iso.org/standard/63787.html
DFL,DFL 1,"FIJA EL TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO DEL CODIGO DEL TRABAJO",https://www.bcn.cl/leychile/navegar?idNorma=207436
DFL,DFL 1,"FIJA TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO DE LA LEY DE TRÁNSITO (LEY 18290 - Esta norma ha sido refundida por DFL-1 29-OCT-2009)",https://www.bcn.cl/leychile/navegar?idNorma=29708
DFL,LEY 20068,"INTRODUCE DIVERSAS MODIFICACIONES A LA LEY Nº 18.290, EN MATERIA DE TRANSITO TERRESTRE",https://www.bcn.cl/leychile/navegar?idNorma=244868
DFL,DFL 725,CODIGO SANITARIO,https://www.bcn.cl/leychile/navegar?idNorma=5595
DECRETO,DECRETO 18,CERTIFICACION DE CALIDAD DE ELEMENTOS DE PROTECCION PERSONAL CONTRA RIESGOS OCUPACIONALES,https://www.bcn.cl/leychile/navegar?idNorma=7603
DECRETO,DECRETO 44,APRUEBA NUEVO REGLAMENTO SOBRE GESTIÓN PREVENTIVA DE LOS RIESGOS LABORALES PARA UN ENTORNO DE TRABAJO SEGURO Y SALUDABLE,https://www.bcn.cl/leychile/navegar?idNorma=1205298
DECRETO,DECRETO 97,"MODIFICA DECRETO N° 594 DE 1999, SOBRE CONDICIONES SANITARIAS Y AMBIENTALES BÁSICAS EN LOS LUGARES DE TRABAJO",https://www.bcn.cl/leychile/navegar?idNorma=1021867
DECRETO,DECRETO 101,"APRUEBA REGLAMENTO PARA LA APLICACION DE LA LEY Nº 16.744, QUE ESTABLECE NORMAS SOBRE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES",https://www.bcn.cl/leychile/navegar?idNorma=9231
DECRETO,DECRETO 109,"APRUEBA EL REGLAMENTO PARA LA CALIFICACION Y EVALUACION DE LOS ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES, DE ACUERDO CON LO DISPUESTO EN LA LEY 16.744",https://www.bcn.cl/leychile/navegar?idNorma=9391
DECRETO,DECRETO 132,APRUEBA REGLAMENTO DE SEGURIDAD MINERA,https://www.bcn.cl/leychile/navegar?idNorma=221064
DECRETO,DECRETO 594,APRUEBA REGLAMENTO SOBRE CONDICIONES SANITARIAS Y AMBIENTALES BASICAS EN LOS LUGARES DE TRABAJO,https://www.bcn.cl/leychile/navegar?idNorma=167766
DECRETO,DECRETO 655,APRUEBA EL REGLAMENTO SOBRE HIGIENE Y SEGURIDAD INDUSTRIALES,https://www.bcn.cl/leychile/navegar?idNorma=14900
LEY,LEY 16744,ESTABLECE NORMAS SOBRE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES,https://www.bcn.cl/leychile/navegar?idNorma=28650
LEY,LEY 18290,LEY DE TRÁNSITO,https://www.bcn.cl/leychile/navegar?idNorma=29708
LEY,Ley 18490,ESTABLECE SEGURO OBLIGATORIO DE ACCIDENTES PERSONALES CAUSADOS POR CIRCULACIÓN DE VEHÍCULOS MOTORIZADOS,https://www.bcn.cl/leychile/navegar?idNorma=29893
LEY,Ley 19300,APRUEBA LEY SOBRE BASES GENERALES DEL MEDIO AMBIENTE,https://www.bcn.cl/leychile/navegar?idNorma=30667
LEY,Ley 19404,"INTRODUCE MODIFICACIONES AL DECRETO LEY N° 3.500, DE 1980, Y DICTA NORMAS RELATIVAS A PENSIONES DE VEJEZ, CONSIDERANDO EL DESEMPEÑO DE TRABAJOS PESADOS",https://www.bcn.cl/leychile/navegar?idNorma=30771
LEY,Ley 19419,REGULA ACTIVIDADES QUE INDICA RELACIONADAS CON EL TABACO,https://www.bcn.cl/leychile/navegar?idNorma=30786
LEY,Ley 19728,ESTABLECE UN SEGURO DE DESEMPLEO,https://www.bcn.cl/leychile/navegar?idNorma=184979
LEY,Ley 20000,"SUSTITUYE LA LEY Nº 19.366, QUE SANCIONA EL TRAFICO ILICITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTROPICAS",https://www.bcn.cl/leychile/navegar?idNorma=235507
LEY,Ley 20001,REGULA EL PESO MAXIMO DE CARGA HUMANA,https://www.bcn.cl/leychile/navegar?idNorma=235279
LEY,Ley 20005,TIPIFICA Y SANCIONA EL ACOSO SEXUAL,https://www.bcn.cl/leychile/navegar?idNorma=236425
LEY,Ley 20015,"MODIFICA LA LEY Nº 18.933, SOBRE INSTITUCIONES DE SALUD PREVISIONAL",https://www.bcn.cl/leychile/navegar?idNorma=238102
LEY,Ley 20047,ESTABLECE UN PERMISO PATERNAL EN EL CODIGO DEL TRABAJO,https://www.bcn.cl/leychile/navegar?idNorma=241556
LEY,Ley 20096,ESTABLECE MECANISMOS DE CONTROL APLICABLES A LAS SUSTANCIAS AGOTADORAS DE LA CAPA DE OZONO,https://www.bcn.cl/leychile/navegar?idNorma=248323
LEY,Ley 20101,"AMPLIA EL CONCEPTO DE ACCIDENTE DE TRABAJO CONTEMPLADO EN LA LEY Nº 16.744, SOBRE ACCIDENTES DEL TRABAJO Y ENFERMEDADES PROFESIONALES",https://www.bcn.cl/leychile/navegar?idNorma=249199
LEY,Ley 20105,"MODIFICA LA LEY Nº 19.419, EN MATERIAS RELATIVAS A LA PUBLICIDAD Y EL CONSUMO DEL TABACO",https://www.bcn.cl/leychile/navegar?idNorma=249682
LEY,Ley 20123,"REGULA TRABAJO EN REGIMEN DE SUBCONTRATACION, EL FUNCIONAMIENTO DE LAS EMPRESAS DE SERVICIOS TRANSITORIOS Y EL CONTRATO DE TRABAJO DE SERVICIOS TRANSITORIOS",https://www.bcn.cl/leychile/navegar?idNorma=254080
LEY,Ley 20137,OTORGA PERMISO LABORAL POR MUERTE Y NACIMIENTO DE PARIENTES QUE INDICA,https://www.bcn.cl/leychile/navegar?idNorma=256450
LEY,Ley 20348,RESGUARDA EL DERECHO A LA IGUALDAD EN LAS REMUNERACIONES,https://www.bcn.cl/leychile/navegar?idNorma=1003601
LEY,Ley 20545,MODIFICA LAS NORMAS SOBRE PROTECCIÓN A LA MATERNIDAD E INCORPORA EL PERMISO POSTNATAL PARENTAL,https://www.bcn.cl/leychile/navegar?idNorma=1030936
LEY,Ley 20580,"MODIFICA LEY N° 18.290, AUMENTANDO LAS SANCIONES POR MANEJO EN ESTADO DE EBRIEDAD, BAJO LA INFLUENCIA DE SUSTANCIAS ESTUPEFACIENTES O SICOTRÓPICAS, Y BAJO LA INFLUENCIA DEL ALCOHOL",https://www.bcn.cl/leychile/navegar?idNorma=1037847
LEY,Ley 20584,REGULA LOS DERECHOS Y DEBERES QUE TIENEN LAS PERSONAS EN RELACIÓN CON ACCIONES VINCULADAS A SU ATENCIÓN DE SALUD,https://www.bcn.cl/leychile/navegar?idNorma=1039348
LEY,Ley 20585,SOBRE OTORGAMIENTO Y USO DE LICENCIAS MÉDICAS,https://www.bcn.cl/leychile/navegar?idNorma=1039952
LEY,Ley 20607,"MODIFICA EL CÓDIGO DEL TRABAJO, SANCIONANDO LAS PRÁCTICAS DE ACOSO LABORAL",https://www.bcn.cl/leychile/navegar?idNorma=1042709
LEY,Ley 20609,ESTABLECE MEDIDAS CONTRA LA DISCRIMINACIÓN,https://www.bcn.cl/leychile/navegar?idNorma=1042092
LEY,Ley 20660,MODIFICA LEY Nº 19.419 EN MATERIA DE AMBIENTES LIBRES DE HUMO DE TABACO,https://www.bcn.cl/leychile/navegar?idNorma=1047848
LEY,Ley 20764,"MODIFICA EL CÓDIGO DEL TRABAJO EN MATERIA DE PROTECCIÓN A LA MATERNIDAD, LA PATERNIDAD Y LA VIDA FAMILIAR Y ESTABLECE UN PERMISO POR MATRIMONIO DEL TRABAJADOR",https://www.bcn.cl/leychile/navegar?idNorma=1064513
LEY,LEY 20769,MODIFICA EL CÓDIGO DEL TRABAJO OTORGANDO PERMISO A TRABAJADORAS Y TRABAJADORES PARA EFECTUARSE EXÁMENES DE MAMOGRAFÍA Y DE PRÓSTATA RESPECTIVAMENTE,https://www.bcn.cl/leychile/navegar?idNorma=1066873
LEY,LEY 20770,"MODIFICA LA LEY DEL TRÁNSITO, EN LO QUE SE REFIERE AL DELITO DE MANEJO EN ESTADO DE EBRIEDAD, CAUSANDO LESIONES GRAVES, GRAVÍSIMAS O CON RESULTADO DE MUERTE",https://www.bcn.cl/leychile/navegar?idNorma=1066775
